"id","industryId","industry","targetName","value","createTime","updateTime","year","province"
"19",,,"河南省人民政府办公厅发布政策数量","9","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"20",,,"广东省人民政府办公厅发布政策数量","5","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"21",,,"深圳市人民代表大会常务委员会发布政策数量","2","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"22",,,"人民银行发布政策数量","8","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"23",,,"发展改革委发布政策数量","7","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"24",,,"财政部发布政策数量","25","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"25",,,"生态环境部发布政策数量","18","17/9/2025 11:04:51","17/9/2025 11:04:51","2022",
"26",,,"银保监会发布政策数量","5","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"27",,,"证监会发布政策数量","3","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"28",,,"中央网信办发布政策数量","5","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"29",,,"农业农村部发布政策数量","14","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"30",,,"工业和信息化部发布政策数量","47","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"31",,,"国家市场监督管理总局发布政策数量","5","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"32",,,"商务部发布政策数量","15","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"33",,,"国务院国有资产监督管理委员会发布政策数量","3","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"34",,,"教育部办公厅发布政策数量","6","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"35",,,"国家发展改革委办公厅发布政策数量","6","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"36",,,"国家能源局综合司发布政策数量","5","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"37",,,"国家互联网信息办公室发布政策数量","7","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"38",,,"福建省工业和信息化厅发布政策数量","7","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"39",,,"广东省人民政府发布政策数量","3","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"40",,,"中共广东省委发布政策数量","1","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"41",,,"山东省能源局发布政策数量","2","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"42",,,"四川省科学技术厅发布政策数量","5","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"43",,,"四川省发展和改革委员会发布政策数量","6","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"44",,,"四川省经济和信息化厅发布政策数量","9","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"45",,,"自治区科学技术厅发布政策数量","1","17/9/2025 11:04:52","17/9/2025 11:04:52","2022",
"46",,,"交通运输部发布政策数量","14","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"47",,,"国家能源局发布政策数量","13","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"48",,,"国家电网有限公司发布政策数量","1","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"49",,,"中国南方电网有限责任公司发布政策数量","1","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"50",,,"市场监管总局办公厅发布政策数量","2","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"51",,,"农业农村部办公厅发布政策数量","5","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"52",,,"国家卫生健康委员会办公厅发布政策数量","1","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"53",,,"国家矿山安全监察局综合司发布政策数量","1","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"54",,,"国家发展改革委发布政策数量","23","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"55",,,"国务院国资委发布政策数量","6","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"56",,,"市场监管总局发布政策数量","11","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"57",,,"国家知识产权局发布政策数量","12","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"58",,,"住房和城乡建设部发布政策数量","10","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"59",,,"中国科协办公厅发布政策数量","2","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"60",,,"北京市科学技术委员会发布政策数量","3","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"61",,,"北京市通州区人民政府发布政策数量","2","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"62",,,"中关村科技园区管理委员会发布政策数量","3","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"63",,,"北京市经济和信息化局发布政策数量","7","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"64",,,"河南省工业和信息化厅办公室发布政策数量","1","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"65",,,"湖南省工业和信息化厅发布政策数量","3","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"66",,,"湖南省发展和改革委员会发布政策数量","3","17/9/2025 11:04:53","17/9/2025 11:04:53","2022",
"67",,,"湖南省教育厅发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"68",,,"湖南省财政厅发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"69",,,"湖南省人力资源和社会保障厅发布政策数量","2","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"70",,,"湖南省文化和旅游厅发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"71",,,"湖南省人民政府国有资产监督管理委员会发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"72",,,"湖南省文物局发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"73",,,"黑龙江省人民政府办公厅发布政策数量","2","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"74",,,"重庆市经济信息委发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"75",,,"重庆市财政局发布政策数量","2","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"76",,,"四川省财政厅发布政策数量","6","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"77",,,"四川省人民政府发布政策数量","2","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"78",,,"贵州省科技厅发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"79",,,"甘肃省人民政府办公厅发布政策数量","2","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"80",,,"商务部办公厅发布政策数量","2","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"81",,,"财政部办公厅发布政策数量","4","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"82",,,"自然资源部办公厅发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"83",,,"生态环境部办公厅发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"84",,,"住房和城乡建设部办公厅发布政策数量","3","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"85",,,"宁夏回族自治区发展和改革委员会发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"86",,,"中共宁夏回族自治区委员会网络安全和信息化委员会办公室发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"87",,,"宁夏回族自治区工业和信息化厅发布政策数量","2","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"88",,,"宁夏回族自治区通信管理局发布政策数量","1","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"89",,,"工业和信息化部装备工业一司发布政策数量","2","17/9/2025 11:04:54","17/9/2025 11:04:54","2022",
"90",,,"市场监管总局标准技术司发布政策数量","1","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"91",,,"云南省发展和改革委员会发布政策数量","12","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"92",,,"云南省工业和信息化厅发布政策数量","12","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"93",,,"科技部发布政策数量","24","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"94",,,"住房城乡建设部发布政策数量","6","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"95",,,"中科院发布政策数量","4","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"96",,,"工程院发布政策数量","2","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"97",,,"昆明市人民政府大健康发展管理办公室发布政策数量","1","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"98",,,"江西省人民政府发布政策数量","4","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"99",,,"广东省发展和改革委员会发布政策数量","2","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"100",,,"广东省科学技术厅发布政策数量","3","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"101",,,"广东省工业和信息化厅发布政策数量","4","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"102",,,"广东省财政厅发布政策数量","2","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"103",,,"广东省住房和城乡建设厅发布政策数量","1","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"104",,,"广东省应急管理厅发布政策数量","1","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"105",,,"广东省市场监督管理局发布政策数量","1","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"106",,,"广东省能源局发布政策数量","2","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"107",,,"重庆市人民政府办公厅发布政策数量","11","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"108",,,"四川省人民政府办公厅发布政策数量","6","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"109",,,"陕西省工业和信息化厅发布政策数量","2","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"110",,,"陕西省科学技术厅发布政策数量","4","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"111",,,"陕西省财政厅发布政策数量","2","17/9/2025 11:04:55","17/9/2025 11:04:55","2022",
"112",,,"陕西省商务厅发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"113",,,"陕西省人民政府国有资产监督管理委员会发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"114",,,"中国证券监督管理委员会陕西监管局发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"115",,,"教育部发布政策数量","10","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"116",,,"国家卫生健康委发布政策数量","4","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"117",,,"学位管理与研究生教育司发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"118",,,"河南省发展和改革委员会发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"119",,,"浙江省人民政府发布政策数量","2","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"120",,,"安徽省经济和信息化厅发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"121",,,"河南省人民政府发布政策数量","3","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"122",,,"湖北省人民政府办公厅发布政策数量","2","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"123",,,"深圳市商务局发布政策数量","2","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"124",,,"北京市城市管理委员会发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"125",,,"自然科学基金委发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"126",,,"中共四川省委网络安全和信息化委员会办公室发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"127",,,"四川省能源局发布政策数量","4","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"128",,,"四川省通信管理局发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"129",,,"四川省大数据中心发布政策数量","1","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"130",,,"上海市经济和信息化委员会发布政策数量","10","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"131",,,"深圳市科技创新委员会发布政策数量","5","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"132",,,"科学技术部发布政策数量","5","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"133",,,"人力资源和社会保障部发布政策数量","2","17/9/2025 11:04:56","17/9/2025 11:04:56","2022",
"134",,,"中国科学院发布政策数量","1","17/9/2025 11:04:57","17/9/2025 11:04:57","2022",
"135",,,"横琴粤澳深度合作区执行委员会发布政策数量","1","17/9/2025 11:04:57","17/9/2025 11:04:57","2022",
"136",,,"山东省教育厅发布政策数量","1","17/9/2025 11:04:57","17/9/2025 11:04:57","2022",
"137",,,"海南省人民政府办公厅发布政策数量","4","17/9/2025 11:04:57","17/9/2025 11:04:57","2022",
"138",,,"上海市人民政府发布政策数量","7","17/9/2025 11:04:57","17/9/2025 11:04:57","2022",
"139",,,"江西省人民政府办公厅发布政策数量","1","17/9/2025 11:04:57","17/9/2025 11:04:57","2022",
"140",,,"贵州省工业和信息化厅发布政策数量","2","17/9/2025 11:04:57","17/9/2025 11:04:57","2022",
"141",,,"深圳市发展和改革委员会发布政策数量","4","17/9/2025 11:04:57","17/9/2025 11:04:57","2022",
"142",,,"重庆市经济和信息化委员会发布政策数量","5","17/9/2025 11:04:57","17/9/2025 11:04:57","2022",
"143",,,"南京市财政局发布政策数量","1","17/9/2025 11:05:08","17/9/2025 11:05:08","2022",
"144",,,"南京市交通运输局发布政策数量","1","17/9/2025 11:05:08","17/9/2025 11:05:08","2022",
"145",,,"广州市人民政府发布政策数量","1","17/9/2025 11:05:08","17/9/2025 11:05:08","2022",
"146",,,"中国（上海）自由贸易试验区临港新片区管委会发布政策数量","1","17/9/2025 11:05:08","17/9/2025 11:05:08","2022",
"147",,,"上海市发展和改革委员会发布政策数量","7","17/9/2025 11:05:08","17/9/2025 11:05:08","2022",
"148",,,"自治区人民政府办公厅发布政策数量","2","17/9/2025 11:05:08","17/9/2025 11:05:08","2022",
"149",,,"福建省教育厅发布政策数量","1","17/9/2025 11:05:08","17/9/2025 11:05:08","2022",
"150",,,"福建省发展和改革委员会发布政策数量","3","17/9/2025 11:05:08","17/9/2025 11:05:08","2022",
"151",,,"福建省科学技术厅发布政策数量","1","17/9/2025 11:05:08","17/9/2025 11:05:08","2022",
"152",,,"福建省财政厅发布政策数量","2","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"153",,,"福建省生态环境厅发布政策数量","1","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"154",,,"福建省文化和旅游厅发布政策数量","1","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"155",,,"福建省海洋与渔业局发布政策数量","1","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"156",,,"福建省地方金融监督管理局发布政策数量","1","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"157",,,"浙江省数字化改革数字经济组发布政策数量","1","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"158",,,"浙江省科学技术厅办公室发布政策数量","1","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"159",,,"贵州省发展和改革委员会发布政策数量","2","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"160",,,"厅数字化与未来产业处发布政策数量","1","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"161",,,"云南省财政厅发布政策数量","7","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"162",,,"云南省科学技术厅发布政策数量","8","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"163",,,"国务院发布政策数量","8","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"164",,,"水利部发布政策数量","3","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"165",,,"贵州省人民政府办公厅发布政策数量","4","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"166",,,"国家发展和改革委员会发布政策数量","11","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"167",,,"公安部发布政策数量","4","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"168",,,"民政部发布政策数量","3","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"169",,,"卫生健康委发布政策数量","1","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"170",,,"应急部发布政策数量","2","17/9/2025 11:05:09","17/9/2025 11:05:09","2022",
"171",,,"全国工商联发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"172",,,"中国物流与采购联合会发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"173",,,"上海市人民政府办公厅发布政策数量","7","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"174",,,"杭州市人民政府办公厅发布政策数量","2","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"175",,,"山东省财政厅发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"176",,,"山东省人民政府发布政策数量","7","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"177",,,"云南省人民政府办公厅发布政策数量","9","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"178",,,"广西壮族自治区科学技术厅发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"179",,,"广西壮族自治区高级人民法院发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"180",,,"广西壮族自治区市场监督管理局发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"181",,,"中共四川省军民融合发展委员会办公室发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"182",,,"四川省教育厅发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"183",,,"四川省人力资源和社会保障厅发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"184",,,"四川省卫生健康委员会发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"185",,,"四川省政府国有资产监督管理委员会发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"186",,,"中国科学院成都分院发布政策数量","1","17/9/2025 11:05:10","17/9/2025 11:05:10","2022",
"187",,,"吉林省人民政府办公厅发布政策数量","2","17/9/2025 11:05:11","17/9/2025 11:05:11","2022",
"188",,,"广州市科学技术局发布政策数量","3","17/9/2025 11:05:11","17/9/2025 11:05:11","2022",
"189",,,"合肥市人民政府办公司发布政策数量","1","17/9/2025 11:05:11","17/9/2025 11:05:11","2022",
"190",,,"上海市科学技术委员会发布政策数量","6","17/9/2025 11:05:11","17/9/2025 11:05:11","2022",
"191",,,"上海市规划和自然资源局发布政策数量","1","17/9/2025 11:05:11","17/9/2025 11:05:11","2022",
"192",,,"上海市住房和城乡建设管理委员会发布政策数量","2","17/9/2025 11:05:11","17/9/2025 11:05:11","2022",
"193",,,"上海市交通委员会发布政策数量","2","17/9/2025 11:05:11","17/9/2025 11:05:11","2022",
"194",,,"上海市应急管理局发布政策数量","1","17/9/2025 11:05:11","17/9/2025 11:05:11","2022",
"195",,,"上海市市场监督管理局发布政策数量","1","17/9/2025 11:05:11","17/9/2025 11:05:11","2022",
"196",,,"人力资源社会保障部发布政策数量","3","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"197",,,"运输司发布政策数量","1","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"198",,,"人社部发布政策数量","1","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"199",,,"工信部发布政策数量","1","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"200",,,"国家税务总局办公厅发布政策数量","1","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"201",,,"贵州省发展改革委发布政策数量","1","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"202",,,"贵州省住房和城乡建设厅发布政策数量","1","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"203",,,"贵州省大数据发展管理局发布政策数量","1","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"204",,,"贵州省通信管理局发布政策数量","1","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"205",,,"中国网信网发布政策数量","2","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"206",,,"消费促进司发布政策数量","1","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"207",,,"自然资源部发布政策数量","4","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"208",,,"文化和旅游部发布政策数量","2","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"209",,,"海关总署发布政策数量","4","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"210",,,"税务总局发布政策数量","9","17/9/2025 11:05:12","17/9/2025 11:05:12","2022",
"211",,,"体育总局发布政策数量","1","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"212",,,"能源局发布政策数量","1","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"213",,,"消费品工业司发布政策数量","2","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"214",,,"深圳市人民政府发布政策数量","2","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"215",,,"深圳市工业和信息化局发布政策数量","5","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"216",,,"深圳市规划和自然资源局发布政策数量","1","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"217",,,"广州南沙开发区管委会办公室秘书处发布政策数量","1","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"218",,,"国家药品监督管理局发布政策数量","2","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"219",,,"吉林市人民政府办公室发布政策数量","2","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"220",,,"辽宁省人民政府发布政策数量","1","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"221",,,"中共山东省委发布政策数量","1","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"222",,,"宁夏回族自治区人民政府  发布政策数量","1","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"223",,,"国资委发布政策数量","1","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"224",,,"中国科协发布政策数量","1","17/9/2025 11:05:13","17/9/2025 11:05:13","2022",
"225",,,"市场监督管理总局发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"226",,,"科技部办公厅发布政策数量","4","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"227",,,"人力资源社会保障部办公厅发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"228",,,"湖北省科技厅发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"229",,,"国家机关事务管理局发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"230",,,"中国银行保险监督管理委员会发布政策数量","3","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"231",,,"天津市人民政府办公厅发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"232",,,"河南省工业和信息化厅发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"233",,,"北京市人民政府办公厅发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"234",,,"“十四五”新型储能发展实施方案发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"235",,,"中华人民共和国国家发展和改革委员会发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"236",,,"中华人民共和国工业和信息化部发布政策数量","3","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"237",,,"中华人民共和国公安部发布政策数量","3","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"238",,,"中华人民共和国国家安全部发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"239",,,"中华人民共和国财政部发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"240",,,"中华人民共和国商务部发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"241",,,"中国人民银行发布政策数量","5","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"242",,,"国家广播电视总局发布政策数量","3","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"243",,,"中国证券监督管理委员会国家保密局发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"244",,,"国家密码管理局发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"245",,,"湖南省第十三届人民代表大会常务委员会发布政策数量","1","17/9/2025 11:05:14","17/9/2025 11:05:14","2022",
"246",,,"西安市人民政府发布政策数量","2","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
"247",,,"中央网信办信息化发展局等发布政策数量","1","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
"248",,,"北京市科学技术委员会、中关村科技园区管理委员会等发布政策数量","1","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
"249",,,"黑龙江省人民政府发布政策数量","1","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
"250",,,"海南省工业和信息化厅发布政策数量","4","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
"251",,,"国家卫生健康委员会发布政策数量","1","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
"252",,,"应急管理部发布政策数量","2","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
"253",,,"国家医疗保障局发布政策数量","1","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
"254",,,"国家中医药管理局发布政策数量","2","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
"255",,,"农业农村部科技教育司发布政策数量","1","17/9/2025 11:05:15","17/9/2025 11:05:15","2022",
