行业,省份,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
通用设备制造业,江苏省,42,,1,,,4,5,32,,20,4,3,15,14,3,1,2,2,2,,,,,,,,,,2,,1,,,1,14,,,,,,,,155776099619.14,3708954752.83667,16201023275,268006677,3013357564,7322372593,174342204.597143,2348855468,-335781321.8,81478466.64,71755,1708.45238095238,6991,213,1345.5,85846229936,2043957855.61286,13369591730,165846047.5,1480143755,37.2126190476191,73.28,2.09,35.4,4058497845,96630901.06,649950372.7,4880245,63128137.21,-1.003095238,34.54,-79.07,0.635,8132850855,193639306.061905,2617884216,-364885602.3,84418706.74,-76.4952381,427.6,-3410.14,-11.935,-48.49619048,355.91,-2332.28,-7.3,9.10804878048781,54.32,-35.15,6.4,5.1347619047619,10.22,1.56,4.32,0.395609756097561,3.28,-1.9,0.28,66418729.85,22139576.6166667,33414880.85,10875454.87,22128394.13,-11.36333333,5.28,-19.87,-19.5,8773,230.868421052632,1201,48,184,10.4024324324324,69.78,-33.29,6.6,3.9847619047619,57.73,-20.43,2.745,564348698.7,13436873.7792857,99248261.8,632505.29,8848194.77,3011.3,71.697619047619,864,1.19,41.5,21877,533.585365853659,2894,1,372,265,9.46428571428571,51,1,4.5,1831,45.775,259,3,39,3014,73.5121951219512,916,1,33,0,0,0,0,0,1865,46.625,163,3,38,17,2.83333333333333,7,1,2.5,572,15.4594594594595,54,1,13,17,2.83333333333333,7,1,2.5,1802,45.05,133,3,36,191,5.61764705882353,21,1,4,14.7115789473684,38.92,4.5,13.76,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.5,2,1,1.5,0,0,0,0,0,66738032827,1589000781.58571,6255631412,5429984,1054563393,31140,759.512195121951,5776,49,497,0,0,0,0,0,7117,173.585365853659,1152,1,125,265,9.46428571428571,51,1,4.5,29,2.23076923076923,9,1,1,1,1,1,1,1
半导体业,江苏省,23,,,1,,2,1,19,,11,,,12,9,1,,1,,,,,,,,,,,,,,,1,,,10,1,,,,,,,163705832288.34,7117644882.10174,39407722855,1167483814,3496017852,9997016450,434652889.109565,3230985650,-63402969.12,173658643.4,69601,3026.13043478261,20172,116,1053,95600954729,4156563249.09348,33762006194,292651672.9,1126152290,28.3495652173913,71.86,1.51,26.42,5612271630,244011809.993043,1323143555,33190097.4,114922711.1,10.2908695652174,68.14,-21.67,2.89,10572826951,459688128.302174,3245655802,-77797499.25,173980483.7,-77.07652174,93.66,-1383.07,-6.1,-35.41086957,93.58,-517.35,-6.74,26.0260869565217,69.53,-7.7,21.06,9.45826086956522,30.64,3.08,6.48,1.61909090909091,10.61,-8.47,0.97,22206352.76,11103176.38,13415744.78,8790607.98,11103176.38,-89,-89,-89,-89,10457,454.652173913043,2807,54,194,22.6721739130435,127.79,-9.3,15.66,16.7209090909091,103.1,-13.5,12.94,957647371.7,41636842.2473913,190593270.5,5674499.63,12264824.77,3659,159.086956521739,558,23,114,8938,388.608695652174,2014,114,289,318,19.875,66,1,9,1571,68.304347826087,331,7,46,1175,51.0869565217391,278,4,28,0,0,0,0,0,1015,44.1304347826087,170,1,25,35,4.375,8,1,3.5,571,25.9545454545455,95,2,17,35,4.375,8,1,3.5,929,40.3913043478261,160,3,22,276,13.1428571428571,95,1,5,26.4147826086957,62.12,7.58,20.17,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,60804891340,2643690927.83348,21067497749,49412387.78,723291903.3,15728,683.826086956522,2663,90,452,0,0,0,0,0,4362,189.652173913043,854,29,142,318,19.875,66,1,9,3,3,3,3,3,0,0,0,0,0
建筑业,江苏省,11,,1,,,1,2,7,,3,,1,7,3,,,,,,,,,,,,,,,1,,,1,1,2,3,,,,,,,,139499766261.27,12681796932.8427,50067644973,641457898.6,3362444648,3471525621,315593238.307273,2824413171,-652705610.9,79168402.2,40240,3658.18181818182,13749,226,700,110712678058.43,10064788914.4027,42825725192,195751162.6,2086396493,61.5545454545455,88.68,35.82,62.37,3564405079,324036825.394545,1362712638,7663702.9,84557970.76,2.52545454545455,44.9,-54.75,1.89,4095367537,372306139.7,3156732334,-587497120,97042194.66,32.1427272727273,656.3,-279.93,-5.38,9.44727272727273,494.37,-362.43,-1.09,29.9609090909091,307.04,-70.5,16.9,3.59090909090909,4.87,1.15,3.56,-0.670909091,2.62,-11.79,0.1,0,0,0,0,0,0,0,0,0,7240,658.181818181818,2431,22,119,-8.669090909,52.68,-61.4,1.14,-1.487272727,26,-35.43,6.87,149465148.3,13587740.75,66585589,612613.02,3786387.15,881.63,80.1481818181818,336,2.63,36,8651,786.454545454545,4632,8,187,36,18,29,7,18,924,84,535,2,12,828,75.2727272727273,493,1,14,0,0,0,0,0,892,89.2,587,3,19.5,2,2,2,2,2,377,41.8888888888889,305,1,5,2,2,2,2,2,815,81.5,477,2,24.5,167,23.8571428571429,132,1,5,20.7254545454545,37.15,8.74,18.5,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90378852834,8216259348.50727,31209525974,443231150.1,1702065854,12798,1163.45454545455,7806,30,249,0,0,0,0,0,3102,282,1816,8,35,36,18,29,7,18,5,5,5,5,5,6,3,4,2,3
铁路、船舶、航空航天和其他运输设备制造业,江苏省,14,,3,,1,1,,9,,3,2,,9,1,1,1,,2,,,,,,,,,,,,,,,2,,6,,,,1,,,,77248604298,5517757450,24952604872,319283634.1,2379695350,4575167547,326797681.950714,2183007223,-50196437.65,121391590.9,37791,2699.35714285714,11876,72,1063,56184467990,4013176285.01214,31059438113,116868111.7,1123436109,33.6971428571429,73.36,15,28.9,2720613945,194329567.487857,1105840137,1724689.92,58342363.76,2.65214285714286,24.61,-23.64,7.775,5448118434,389151316.717857,2707596959,-43433264.12,138597080.1,466.203571428572,6566.16,-73.69,-17.79,105.285,1539.93,-122.99,-11.215,34.9007692307692,305.19,-24.61,12.35,6.09357142857143,12.55,1.42,5.225,0.71,8.8,-5.72,0.45,14063962.05,7031981.025,13776060.09,287901.96,7031981.025,-52.39,-35.37,-69.41,-52.39,4652,332.285714285714,1078,11,138.5,-1.498461538,27.8,-45,-3.73,5.43857142857143,91.28,-37.33,-1.69,313228096.2,24094468.9376923,166633482,1064121.51,8724884.47,1659.2,118.514285714286,502,6.2,44.5,9328,666.285714285714,2330,49,329.5,40,5,20,1,3,998,71.2857142857143,319,3,28.5,916,65.4285714285714,345,4,27.5,0,0,0,0,0,924,66,279,1,30.5,2,1,1,1,1,287,20.5,116,1,7,2,1,1,1,1,956,68.2857142857143,350,2,29,135,12.2727272727273,53,2,5,15.7428571428571,24.19,8.22,14.81,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35217076597,2515505471.18714,18310010251,93877021.74,851022292.9,12745,910.357142857143,3277,40,502.5,0,0,0,0,0,2903,207.357142857143,907,8,69.5,40,5,20,1,3,8,2,3,1,2,0,0,0,0,0
水利、环境和公共设施管理业,江苏省,13,,,,1,1,,11,,7,1,,5,6,,,,1,,,,1,,,,,,,,,,1,,,4,,,,,,,,91674104137,7051854164.36923,26467785542,1252605746,2877339143,78881695.25,6067822.71153846,874796213,-704781208.7,27269574.22,31117,2393.61538461538,17957,90,819,25029476942,1925344380.18769,8839291520,132926584.8,859861420.6,43.2723076923077,82.65,10.51,45.37,783148321.8,71195301.9781818,243686817.7,4560634.09,52234464.95,7.1,308.64,-67.47,-11.94,911167383,70089798.6953846,947559275.7,-502980256.2,39627022.99,-64.29923077,85.08,-370.06,-48.66,-79.72230769,32.84,-351.85,-65.06,-14.11636364,31.57,-70.08,-17.74,5.11363636363636,15.72,1.32,4.55,-0.174545455,1.81,-3.7,0.1,30131380.81,30131380.81,30131380.81,30131380.81,30131380.81,-41.8,-41.8,-41.8,-41.8,2270,206.363636363636,1006,13,107,-12.97,6.05,-35,-6.04,-4.343846154,17.31,-28.44,-2.54,233270828.7,17943909.8992308,67058424.98,123066,11346628.16,544.93,41.9176923076923,114,3.93,32,4834,371.846153846154,1457,2,250,32,4.57142857142857,9,2,4,533,48.4545454545455,145,14,42,752,62.6666666666667,225,2,47,0,0,0,0,0,631,57.3636363636364,146,1,42,3,1.5,2,1,1.5,244,24.4,81,5,18.5,3,1.5,2,1,1.5,540,49.0909090909091,141,13,40,80,7.27272727272727,13,2,7,13.3718181818182,30.43,1.63,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,50398390539,3876799272.24077,16029688067,131974911,1046408455,9243,770.25,2205,7,686.5,0,0,0,0,0,2054,171.166666666667,568,2,132,32,4.57142857142857,9,2,4,9,3,7,1,1,1,1,1,1,1
科学研究和技术服务业,江苏省,20,,2,,,2,,16,,10,1,,9,6,2,2,,1,,,,,,,,,,,,,,,,,9,,,,,,,,229034583265.54,11451729163.277,64690388805,1250447164,3552499852,16860980538,843049026.9,8902617452,-4387437016,139682489.2,135497,6774.85,44397,93,2246.5,112746993135.22,5637349657,39354754462,264554197,1740539693,38.856,104.06,5.99,41.48,5443718184,272185909.2,1613958724,12590515.87,89636115.63,9.861,90.97,-47.22,3.615,12170364510,608518225.5,10652262207,-3589258153,167639951.8,-25.717,138.38,-314.59,-7.43,-26.1185,129.31,-437.94,4.38,22.3635,71.93,-24.02,15.49,6.8795,16.09,1.16,6.045,0.847,5.56,-1.24,0.44,36172679.56,18086339.78,34838559.01,1334120.55,18086339.78,133.35,133.35,133.35,133.35,44752,2355.36842105263,36666,20,444,14.3138888888889,108.58,-21.04,3.725,7.84315789473684,72.1,-18.84,2.2,674918140.2,35522007.3794737,342679098.8,2278319.07,14207298.77,4516,225.8,1839,18,42.5,12221,611.05,2232,51,492.5,1031,79.3076923076923,466,1,8,1744,87.2,306,2,47.5,1670,83.5,297,1,39,0,0,0,0,0,1379,68.95,249,4,57,206,51.5,98,3,52.5,626,31.3,111,1,26,206,51.5,98,3,52.5,1262,63.1,212,4,61,349,17.45,77,1,6,21.4457894736842,82.65,4.4,18,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.2,2,1,1,0,0,0,0,0,92490476092,4624523805,25951711167,138910174.1,1399167457,27235,1361.75,5425,66,873,0,0,0,0,0,5316,265.8,856,17,168,1034,79.5384615384615,469,1,8,24,2.66666666666667,10,1,1,5,2.5,4,1,2.5
纺织鞋服业,江苏省,16,,,,,1,1,14,,6,4,1,5,6,,,,3,,,,,,1,,,,,1,,,,,1,4,,,,,,,,71978396564,4498649785.25125,32748651586,1718568,1309208887,3239709250,202481828.12875,2062023115,-156332930.9,60672683.88,64849,4053.0625,24382,96,2256,44147471702,2759216981.37438,18561770470,73852801.5,1220980344,1286.45375,20024.92,14.95,33.87,697749060.9,53673004.6876923,194033427.3,113097,34084026.42,-4.909375,30.23,-54.62,-6.845,4171228202,260701762.629375,2806012515,-159015242,51274560.81,-506.321875,104.25,-4633.88,-19.445,-1252.24875,41.9,-19056.44,-17.465,36.35,349.94,-88.22,12.1,2.47769230769231,5.36,0.09,2.14,0.290769230769231,1.01,-0.48,0.32,0,0,0,0,0,0,0,0,0,2843,236.916666666667,967,28,170,19.5291666666667,104,-7.39,5.235,-4.069333333,11.39,-56.92,-1.43,255402194.8,17026812.99,42854434.03,407694.74,12738120.4,765.04,47.815,294,0.34,26,6310,450.714285714286,1128,7,402.5,16,3.2,5,2,3,380,29.2307692307692,79,3,29,890,68.4615384615385,248,1,47,0,0,0,0,0,385,32.0833333333333,163,7,23.5,0,0,0,0,0,151,13.7272727272727,72,3,10,0,0,0,0,0,302,23.2307692307692,85,1,16,61,5.54545454545455,16,1,6,6.66666666666667,12.45,0.71,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,32926369442,2057898090.11625,18226557759,46340942.5,476688458.7,5489,392.071428571429,1321,17,302,0,0,0,0,0,1589,122.230769230769,404,4,91,16,3.2,5,2,3,8,2.66666666666667,6,1,1,0,0,0,0,0
通信传输设备业,江苏省,18,,4,,,,1,13,,8,4,,6,8,,,,2,1,1,,,,,,,,,,,,,3,,3,,,,,,,,60990227526,3388345973.67444,8325143221,592977311,2429997406,751453560.1,41747420.0038889,553198573,-941073571.7,55641593.41,21237,1179.83333333333,3149,128,792,27846726578,1547040365.42556,4154297587,175769182.6,1092918801,27.7133333333333,47.92,8.97,30.04,1868883200,109934305.898235,345075493.6,12833195.15,61931112.62,6.30444444444444,44.52,-25.26,0.565,1052204530,58455807.2088889,624268868,-959965069.2,56608897.21,-95.38722222,91.79,-1165.78,-6.025,-216.0544444,86.42,-2894.54,-11.27,18.9117647058823,75.03,-23.92,23.11,7.63,17.69,1.64,6.15,0.936470588235294,6.75,-0.4,0.5,22792034.2,11396017.1,13114763.32,9677270.88,11396017.1,-59.1,30.7,-106,-102,4529,301.933333333333,936,34,190,6.77533333333333,26.42,-12.41,3.02,4.33,44.63,-22.37,3.78,232116804.6,12895378.0305556,34485498.44,466069,9368225.7,1536.49,85.3605555555555,426,1.89,35,12696,705.333333333333,2849,105,273.5,51,4.63636363636364,22,1,2,1579,87.7222222222222,405,13,35,1593,88.5,459,9,32,0,0,0,0,0,890,52.3529411764706,177,8,31,3,1,1,1,1,510,30,117,2,20,3,1,1,1,1,662,38.9411764705882,138,3,30,187,13.3571428571429,37,1,6,23.8893333333333,46.49,13.8,19.8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,2,0,0,0,0,0,18657819484,1036545526.86167,3064062168,75834521.5,719215625.2,25332,1407.33333333333,7125,178,506.5,0,0,0,0,0,4614,256.333333333333,1177,42,119.5,51,4.63636363636364,22,1,2,2,1,1,1,1,12,6,7,5,6
金属制品业,江苏省,31,,1,,,3,,27,,17,2,1,11,15,1,1,,2,,,,,,,,,,,1,,,2,,,9,,,,,,,,85874109627,2770132568.62193,10463520753,447814994,1928043969,2695929141,86965456.1483871,485611256.2,-144017830.1,65424616.84,33911,1093.90322580645,3889,170,820,50597592501,1632180403.26742,6223360140,220061558.5,1353086851,38.6470967741935,90.53,6.06,36.3,1935857782,64528592.7213333,230581912,2251978.32,42088734.82,1.6941935483871,60.5,-30.03,-3.23,2979138988,96101257.6874194,515782124.3,-205962865.3,76148868.87,16.3777419354839,1289.2,-262.09,-26.4,-12.85612903,235.85,-231.06,-18.77,11.5186206896552,69.44,-71.13,8.07,4.08033333333333,8.8,0.14,3.76,0.4075,4.39,-0.87,0.155,0,0,0,0,0,0,0,0,0,4375,150.862068965517,506,8,116,12.3503571428571,123.73,-26.12,6.06,4.43290322580645,76,-35.13,3.37,261732865.5,8442995.66225807,28438323.11,540114.54,5779816.2,1302.41,42.0132258064516,135,2.78,34,8369,269.967741935484,965,54,196,120,10,32,1,3.5,1017,32.8064516129032,95,2,27,1131,37.7,125,3,31,0,0,0,0,0,820,27.3333333333333,79,1,19.5,13,2.6,6,1,2,279,10.3333333333333,37,1,7,13,2.6,6,1,2,779,25.9666666666667,68,1,15.5,114,4.56,20,1,3,13.0320689655172,20.83,4.25,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,37213476626,1200434729.8629,6695292512,50610015.52,738553913.7,13639,439.967741935484,1145,46,452,0,0,0,0,0,2839,91.5806451612903,306,7,89,120,10,32,1,3.5,5,1.66666666666667,3,1,1,1,1,1,1,1
文化、体育和娱乐业,江苏省,5,,,,,3,,2,,3,1,,1,1,2,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,41531316906,8306263381,29702316700,2492560536,2760244126,1910404714,382080942.7,2107301295,-374341676.1,50007445,9398,1879.6,7129,65,497,16562829505,3312565901,13595816024,632440974.7,697538358.7,40.762,95.48,13.34,27.38,187811903.7,62603967.9066667,108143342.6,21986428.63,57682132.5,-4.922,36.26,-42.4,6.1,2025956990,405191398,2175128733,-356888524.7,77936976,-63.156,-13.42,-107.8,-68.35,-63.2,-15.1,-108.24,-70.45,33.25,69.52,-0.77,31,6.41333333333333,15.5,0.43,3.31,-0.33,0.12,-1,-0.11,44389915.3,44389915.3,44389915.3,44389915.3,44389915.3,0.04,0.04,0.04,0.04,393,131,233,77,83,-1.96,40,-27.8,-18.08,-0.49,18.14,-16,-0.2,197822360.7,39564472.15,149747026.8,925761.8,21459883,520.77,104.154,297,4.77,58,392,130.666666666667,236,37,119,0,0,0,0,0,19,6.33333333333333,15,2,2,94,31.3333333333333,70,4,20,0,0,0,0,0,26,13,18,8,13,0,0,0,0,0,10,5,8,2,5,0,0,0,0,0,28,9.33333333333333,13,3,12,0,0,0,0,0,11.98,17.04,3.3,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16703826618,3340765324,12149404486,520328650.1,732825988.6,529,176.333333333333,377,63,89,0,0,0,0,0,146,48.6666666666667,100,22,24,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0
橡胶和塑料制品业,江苏省,14,1,,,,1,,12,,7,,4,3,6,1,,,,,,,,,,,,,,3,,,,,,3,,,,,1,,,30171646649,2155117618,12248285087,414616059.3,1242063310,1056775064,75483933.1107143,698512806,-187738265.7,34977547.9,10324,737.428571428571,2371,212,471.5,16581712806,1184408057.57429,6061699466,176071143.4,550543672.2,29.7921428571429,80.29,4.02,26.59,685667656.7,48976261.1928571,253136892.7,9342069.92,21432613.33,3.28357142857143,80.43,-26.3,-1.545,1158322826,82737344.6928571,742404632.9,-189496592.6,43070288.94,-1233.072857,87.2,-16953.99,-33.965,-86.38428571,91.1,-867.06,-31.585,3.79,51.34,-20.19,-1.315,4.55571428571429,9.56,2.12,4.34,-0.015,1.15,-1.8,0.075,0,0,0,0,0,0,0,0,0,1524,108.857142857143,393,31,57.5,6.68461538461538,40,-11.49,4.47,5.90615384615385,47.28,-18.79,3.08,72006548.42,5143324.88714286,12888684.86,686442.43,4716073.2,407.27,29.0907142857143,141,4.25,21,2631,187.928571428571,466,88,135,32,4,19,1,1.5,377,26.9285714285714,57,2,26,351,25.0714285714286,58,2,18.5,0,0,0,0,0,286,20.4285714285714,86,5,15,1,1,1,1,1,96,6.85714285714286,33,1,5,1,1,1,1,1,235,16.7857142857143,59,2,12,38,4.75,20,1,2.5,14.9078571428571,28.51,4.37,13.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8866728209,633337729.244286,2528123730,37249362.25,333291633.8,5328,380.571428571429,874,77,327,0,0,0,0,0,1040,74.2857142857143,184,20,66,32,4,19,1,1.5,5,1.66666666666667,2,1,2,0,0,0,0,0
租赁和商务服务业,江苏省,5,,,,,,,5,,2,2,,1,2,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,37239226641,7447845328,25034744865,102125243,4670204560,-1005739052,-201147810.3,174264514,-721144380.5,-163574692,7385,1477,6135,79,461,12106787635,2421357527,6584662953,20535287,1745901376,30.988,48.2,13.24,36.15,35467720.03,17733860.02,26964630.81,8503089.22,17733860.02,-15.358,5.8,-31.98,-14.89,-762898955.1,-152579791,233765730.1,-668446596.2,-24190523,-190.93,-38.99,-595.91,-107.7,-79.09,40.25,-166.76,-98.34,-36.03,-25.04,-47.02,-36.03,0.655,0.84,0.47,0.655,-0.29,-0.14,-0.44,-0.29,0,0,0,0,0,0,0,0,0,53,53,53,53,53,-36.9,-36.9,-36.9,-36.9,1.416,18.99,-12.83,-1.74,132836376.8,26567275.36,93335784,20032,7523679.59,525.85,105.17,331,0.85,77,430,143.333333333333,166,103,161,14,14,14,14,14,20,10,18,2,10,72,24,52,6,14,0,0,0,0,0,21,10.5,19,2,10.5,0,0,0,0,0,11,11,11,11,11,0,0,0,0,0,16,8,9,7,8,3,3,3,3,3,9.6,9.6,9.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12962722217,2592544443,9044445882,16380681,979849765.9,1056,352,710,60,286,0,0,0,0,0,132,44,110,8,14,14,14,14,14,14,2,2,2,2,2,0,0,0,0,0
