行业,district,企业总数,中外合资经营企业企业数量,中央国有企业企业数量,国有企业（其他）企业数量,国有企业（院所）企业数量,地方国有企业企业数量,外资企业企业数量,民营企业企业数量,集体企业企业数量,深交所企业数量,港交所企业数量,北交所企业数量,上交所企业数量,民营企业-深交所企业数量,地方国有企业-深交所企业数量,中央国有企业-深交所企业数量,外资企业-深交所企业数量,民营企业-港交所企业数量,外资企业-港交所企业数量,中央国有企业-港交所企业数量,国有企业（其他）-港交所企业数量,国有企业（院所）-深交所企业数量,集体企业-深交所企业数量,地方国有企业-港交所企业数量,中外合资经营企业-深交所企业数量,中外合资经营企业-港交所企业数量,国有企业（院所）-港交所企业数量,集体企业-港交所企业数量,民营企业-北交所企业数量,中央国有企业-北交所企业数量,地方国有企业-北交所企业数量,地方国有企业-上交所企业数量,中央国有企业-上交所企业数量,外资企业-上交所企业数量,民营企业-上交所企业数量,国有企业（其他）-上交所企业数量,中外合资经营企业-上交所企业数量,集体企业-上交所企业数量,国有企业（院所）-上交所企业数量,中外合资经营企业-北交所企业数量,外资企业-北交所企业数量,集体企业-北交所企业数量,总资产合计,总资产均值,总资产最大值,总资产最小值,总资产中位数,净利润金额合计,净利润金额均值,净利润金额最大值,净利润金额最小值,净利润金额中位数,雇员总数合计,雇员总数均值,雇员总数最大值,雇员总数最小值,雇员总数中位数,营业收入金额合计,营业收入金额均值,营业收入金额最大值,营业收入金额最小值,营业收入金额中位数,资产负债率均值,资产负债率最大值,资产负债率最小值,资产负债率中位数,研发投入金额合计,研发投入金额均值,研发投入金额最大值,研发投入金额最小值,研发投入金额中位数,营业收入同比增减幅均值,营业收入同比增减幅最大值,营业收入同比增减幅最小值,营业收入同比增减幅中位数,营业利润金额合计,营业利润金额均值,营业利润金额最大值,营业利润金额最小值,营业利润金额中位数,营业利润同比增减幅均值,营业利润同比增减幅最大值,营业利润同比增减幅最小值,营业利润同比增减幅中位数,净利润同比增减幅均值,净利润同比增减幅最大值,净利润同比增减幅最小值,净利润同比增减幅中位数,研发投入同比增减幅均值,研发投入同比增减幅最大值,研发投入同比增减幅最小值,研发投入同比增减幅中位数,研发投入占比均值,研发投入占比最大值,研发投入占比最小值,研发投入占比中位数,研发投入占比增减幅均值,研发投入占比增减幅最大值,研发投入占比增减幅最小值,研发投入占比增减幅中位数,资本化研发投入合计,资本化研发投入均值,资本化研发投入最大值,资本化研发投入最小值,资本化研发投入中位数,资本化研发投入同比增减幅均值,资本化研发投入同比增减幅最大值,资本化研发投入同比增减幅最小值,资本化研发投入同比增减幅中位数,研发人员数量合计,研发人员数量均值,研发人员数量最大值,研发人员数量最小值,研发人员数量中位数,研发人员同比增减幅均值,研发人员同比增减幅最大值,研发人员同比增减幅最小值,研发人员同比增减幅中位数,雇员同比增减幅均值,雇员同比增减幅最大值,雇员同比增减幅最小值,雇员同比增减幅中位数,政府奖励资金、补贴合计,政府奖励资金、补贴均值,政府奖励资金、补贴最大值,政府奖励资金、补贴最小值,政府奖励资金、补贴中位数,公司市值合计,公司市值均值,公司市值最大值,公司市值最小值,公司市值中位数,累计中国专利申请数合计,累计中国专利申请数均值,累计中国专利申请数最大值,累计中国专利申请数最小值,累计中国专利申请数中位数,累计PCT专利申请数合计,累计PCT专利申请数均值,累计PCT专利申请数最大值,累计PCT专利申请数最小值,累计PCT专利申请数中位数,累计中国发明专利授权数合计,累计中国发明专利授权数均值,累计中国发明专利授权数最大值,累计中国发明专利授权数最小值,累计中国发明专利授权数中位数,累计中国发明专利失效数合计,累计中国发明专利失效数均值,累计中国发明专利失效数最大值,累计中国发明专利失效数最小值,累计中国发明专利失效数中位数,累计PCT发明专利失效数合计,累计PCT发明专利失效数均值,累计PCT发明专利失效数最大值,累计PCT发明专利失效数最小值,累计PCT发明专利失效数中位数,年度中国专利申请数合计,年度中国专利申请数均值,年度中国专利申请数最大值,年度中国专利申请数最小值,年度中国专利申请数中位数,年度PCT专利申请数合计,年度PCT专利申请数均值,年度PCT专利申请数最大值,年度PCT专利申请数最小值,年度PCT专利申请数中位数,年度中国发明专利申请数合计,年度中国发明专利申请数均值,年度中国发明专利申请数最大值,年度中国发明专利申请数最小值,年度中国发明专利申请数中位数,年度PCT发明专利申请数合计,年度PCT发明专利申请数均值,年度PCT发明专利申请数最大值,年度PCT发明专利申请数最小值,年度PCT发明专利申请数中位数,年度中国专利授权数合计,年度中国专利授权数均值,年度中国专利授权数最大值,年度中国专利授权数最小值,年度中国专利授权数中位数,年度中国发明专利授权数合计,年度中国发明专利授权数均值,年度中国发明专利授权数最大值,年度中国发明专利授权数最小值,年度中国发明专利授权数中位数,研发人员占比均值,研发人员占比最大值,研发人员占比最小值,研发人员占比中位数,国家科技进步奖合计,国家科技进步奖均值,国家科技进步奖最大值,国家科技进步奖最小值,国家科技进步奖中位数,国家技术发明奖合计,国家技术发明奖均值,国家技术发明奖最大值,国家技术发明奖最小值,国家技术发明奖中位数,省/部级科技进步奖合计,省/部级科技进步奖均值,省/部级科技进步奖最大值,省/部级科技进步奖最小值,省/部级科技进步奖中位数,省/部级技术发明奖合计,省/部级技术发明奖均值,省/部级技术发明奖最大值,省/部级技术发明奖最小值,省/部级技术发明奖中位数,国际行业奖项合计,国际行业奖项均值,国际行业奖项最大值,国际行业奖项最小值,国际行业奖项中位数,国家自然科学奖合计,国家自然科学奖均值,国家自然科学奖最大值,国家自然科学奖最小值,国家自然科学奖中位数,省/部级自然科学奖合计,省/部级自然科学奖均值,省/部级自然科学奖最大值,省/部级自然科学奖最小值,省/部级自然科学奖中位数,省/部级科学技术奖合计,省/部级科学技术奖均值,省/部级科学技术奖最大值,省/部级科学技术奖最小值,省/部级科学技术奖中位数,省级企业科技创新奖合计,省级企业科技创新奖均值,省级企业科技创新奖最大值,省级企业科技创新奖最小值,省级企业科技创新奖中位数,总负债合计,总负债均值,总负债最大值,总负债最小值,总负债中位数,累计所有专利被引用数合计,累计所有专利被引用数均值,累计所有专利被引用数最大值,累计所有专利被引用数最小值,累计所有专利被引用数中位数,累计核心专利被引次数合计,累计核心专利被引次数均值,累计核心专利被引次数最大值,累计核心专利被引次数最小值,累计核心专利被引次数中位数,累计中国发明专利申请数合计,累计中国发明专利申请数均值,累计中国发明专利申请数最大值,累计中国发明专利申请数最小值,累计中国发明专利申请数中位数,累计PCT发明专利申请数合计,累计PCT发明专利申请数均值,累计PCT发明专利申请数最大值,累计PCT发明专利申请数最小值,累计PCT发明专利申请数中位数,参与起草国家标准合计,参与起草国家标准均值,参与起草国家标准最大值,参与起草国家标准最小值,参与起草国家标准中位数,参与起草行业标准合计,参与起草行业标准均值,参与起草行业标准最大值,参与起草行业标准最小值,参与起草行业标准中位数
批发和零售业,全国,273,2,19,,1,65,30,152,4,88,88,1,96,51,20,8,3,55,25,4,,1,3,4,2,,,,1,,,41,7,2,45,,,1,,,,,5160452135236.19,18902755074.1252,664754000000,13514285.76,5154031135,78307304518,286839943.290879,14345476461,-20206371591,78000847,2160625,7943.47426470588,400077,21,1832.5,7120885414668.1,26083829357.7586,832812038275.32,5142332.7,3970535358,59.620989010989,947.59,0.9,54.63,18894885109,132132063.702448,2800235364,51014.86,34269865.69,29.6939926739927,4539.86,-99.99,-1.82,134244758549.05,491739042.304212,20604411442,-20285451731,104900503.8,-438.0530037,6432.83,-117208.34,-10.1,-257.1524265,2772.34,-48331.04,-11.55,44.1907751937985,2221.3,-88.99,14.35,1.02127659574468,9.23,0,0.4,0.0650406504065041,3.95,-8.49,0.05,2537411708,76891263.8827273,688038537,81247.49,15280505.1,30.4025714285714,460.43,-105,1.87,30018,238.238095238095,1868,2,112.5,19.2156756756757,408,-107,8.55,-0.730446097,309,-97.06,-4.18,39254519889,156392509.518685,29571598298,2008,11268719.4,22898.1,83.8758241758242,1694,0.2,39,35897,203.960227272727,3698,1,43.5,474,14.8125,89,1,5,3907,30.7637795275591,555,1,7,3494,31.4774774774775,508,1,7,0,0,0,0,0,3619,31.198275862069,345,1,10.5,32,4.57142857142857,10,1,3,927,10.5340909090909,68,1,5,32,4.57142857142857,10,1,3,3511,30.008547008547,363,1,10,594,7.425,69,1,2,6.90944444444444,46.21,0.11,4.325,0,0,0,0,0,0,0,0,0,0,8,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3385777611592.35,12402115793.3786,499410559790.76,6145375.29,2547302790,49291,328.606666666667,5683,1,66.5,0,0,0,0,0,10205,71.8661971830986,1277,1,16,474,14.8125,89,1,5,51,2.42857142857143,8,1,1,8,1.33333333333333,2,1,1
半导体业,全国,172,9,12,2,2,16,20,111,,61,27,2,82,47,7,3,2,14,7,2,1,1,,2,1,1,,,1,1,,7,6,11,49,1,7,,1,,,,2958033748580.57,17197870631.2824,748542556732,107898899.2,4107079519,366236231519.28,2129280415.80977,217238445854,-747632184.3,153600601.3,753598,4381.38372093023,97016,100,1199,1494377201673.42,8688239544.61291,495124003538,47388149.8,1809167513,31.964011627907,97.4,1.51,30.365,106190452873.52,628345874.991243,35706980159,106450,142990205.4,21.7761046511628,2390.79,-42.84,3.57,411298557285.26,2391270681.89105,245229290144,-983354965.8,165829568.6,-32.29348837,1307.4,-2564.3,-9.03,-24.55174419,2119.8,-1828.2,-10.87,20.2516666666667,125.87,-65,18.18,11.1413017751479,57.12,0.04,7.17,-0.610180723,27.04,-350.35,0.635,4019716231,167488176.287083,1068025652,177864,30616632.44,-1.891666667,124.42,-106,-0.78,137893,872.740506329114,21926,31,363,15.832380952381,127.79,-42.61,12.28,9.6821686746988,132.09,-33.9,7.69,13966529456,84645633.068303,1938975260,174460.03,18594136.2,73367.84,426.557209302326,37899,0.6,96.5,149671,935.44375,15240,2,357.5,4596,47.3814432989691,1600,1,12,54069,340.056603773585,8949,3,60,28447,177.79375,3966,1,43,0,0,0,0,0,12187,77.6242038216561,1617,1,39,308,8.55555555555556,69,1,4,8106,54.4026845637584,1522,1,22,308,8.55555555555556,69,1,4,10113,64.8269230769231,781,1,31.5,5160,35.3424657534247,732,1,13,31.1426582278481,90.43,3.38,20.25,0,0,0,0,0,0,0,0,0,0,9,1.28571428571429,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,2,1,1,1,1,948009008876.35,5511680284.16483,179687394951,40480911,957715819.6,833604,5210.025,326577,20,670.5,0,0,0,0,0,109066,681.6625,14192,2,188.5,4589,47.3092783505155,1601,1,12,70,3.18181818181818,8,1,3,0,0,0,0,0
电力、热力、燃气及水生产和供应业,全国,189,,44,1,,81,5,56,2,51,57,1,80,15,25,10,1,21,4,13,,,,18,,,,1,1,,,38,21,,19,1,,1,,,,,10819000119561.9,57243386875.9887,578454000000,29934477.73,16760782025,222800912000.85,1178840804.2373,25101921432,-10972600334,239969189,1031955,5548.14516129032,71955,30,2034.5,3704370232298.07,19599842498.9316,246724741445,32956737,4522161646,69.0042857142857,1759.1,5.1,58.89,28521950480,230015729.678629,3852534248,2001,25299493.66,14.3587830687831,361.3,-89.5,12.61,303355925870.98,1605057808.84116,30388062443,-10813936893,332418739.9,6.34190476190476,1229.86,-1442.19,7.78,-8.805132275,1241.96,-5770.88,3.67,99.9257627118644,3084.1,-99.96,11.385,1.14704918032787,9.12,0,0.625,0.156814159292035,2.83,-1.4,0,6511163951,197307998.510909,1982740987,3931,13450901.38,103.191212121212,3135.53,-108,1.52,49696,492.039603960396,13028,1,102,37.1246511627907,365,-65.58,14.255,2.77236559139785,303.31,-91.75,0.475,16091590134,89897151.5841341,1804434153,9635.48,19186757.72,40604.06,214.836296296296,5397,0.32,81,77933,496.388535031847,6719,1,101,741,28.5,209,1,3,8257,61.162962962963,1339,1,14,5472,40.8358208955224,637,1,10,0,0,0,0,0,14722,112.381679389313,1078,1,27,116,9.66666666666667,36,1,2,6050,56.5420560747664,755,1,9,116,9.66666666666667,36,1,2,12308,92.5413533834586,899,1,22,1877,20.1827956989247,309,1,5,8.10079207920792,27.98,0.14,5.28,0,0,0,0,0,0,0,0,0,0,32,1.6,5,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,6926103652893.21,36646051073.5091,376905781299,82595323,10136026245,95234,630.688741721854,8790,1,165,0,0,0,0,0,29684,206.138888888889,4203,1,36,725,27.8846153846154,204,1,3,113,3.32352941176471,35,1,1,5,1.66666666666667,3,1,1
汽车制造业,全国,230,4,17,,,31,17,161,,90,43,7,90,71,11,5,1,26,6,2,,,,7,2,2,,,6,,,13,10,9,58,,,,,,1,,6614691738780.92,28759529299.0475,990107356825.74,303533469,4721967993,125172510370.83,544228305.96013,22842639918,-14437179293,98185095.73,3254510,14150.0434782609,570173,62,3012,4614449954119.47,20062825887.476,720987593891.01,20406413,2912109176,46.1366956521739,139.3,0.1,46.325,248393000000,1089445153.66184,20866154583,257499,128442145.9,12.0420869565217,301.92,-61.12,8.04,131134276252.03,570149027.182739,26022250924,-15640662929,106879603.7,-335.7193913,6701.54,-78044.1,-3.25,-67.8413913,3986.06,-13339.1,-0.12,17.9649122807018,593.95,-96.18,11.045,6.13368421052632,54.1,0.51,4.615,0.202368421052632,26.2,-37.45,0.145,47005225893,1175130647.3315,7616945082,1471831.43,172467851,636.277804878049,25075.11,-108,13.52,388739,1868.9375,69609,18,399.5,16.6497487437186,680.36,-57.36,7.56,10.1607423580786,182.04,-65.58,3.18,27693088168,123629857.891339,3659336975,36067.5,17509126.82,53641.58,233.224260869565,7211,0.41,51.5,481453,2139.79111111111,36411,2,442,9652,92.8076923076923,2468,1,7.5,66000,301.369863013699,7848,1,41,43313,197.776255707763,3121,1,36,0,0,0,0,0,58542,269.778801843318,7350,1,45,1098,30.5,194,1,5.5,26642,132.547263681592,6280,1,12,1099,30.5277777777778,193,1,5.5,49721,226.004545454545,3707,1,41,13870,76.6298342541436,2531,1,6,16.5094230769231,73.74,4.22,13.365,0,0,0,0,0,0,0,0,0,0,53,2.40909090909091,7,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.16666666666667,2,1,1,0,0,0,0,0,3962854786684.51,17229803420.3674,653807192798.09,4765902,2264413380,869549,3864.66222222222,113557,1,638,0,0,0,0,0,172769,778.238738738739,18943,2,118,9654,92.8269230769231,2468,1,7.5,515,9.03508771929824,66,1,4,24,1.71428571428571,3,1,2
金属制品业,全国,114,1,5,,,8,6,94,,61,12,5,36,51,3,3,4,9,2,,,,,1,,,,,5,,,4,2,,29,,1,,,,,,883648009339.94,7751298327.54333,145899984237,43060045,2808109705,31801304081,278958807.725789,4601146663,-841878123.3,94970290.17,405229,3554.64035087719,62160,66,1378.5,743344765436.79,6520568117.86658,141536665477,64279128,1939692789,42.3578947368421,153.09,6.06,41.815,18572310388,171965836.927593,2520394844,199161.79,62343958,7.37789473684211,119.04,-57.89,1.705,42076630929,369093253.763684,7505209564,-804917412.1,108739364.6,-16.15517544,1289.2,-922.09,-26.225,-25.87666667,326.22,-951.86,-21.93,10.0275700934579,98.04,-96.22,6.53,4.04148148148148,10.28,0.01,3.85,0.191981132075472,4.39,-3.11,0.08,247108774.7,35301253.5328571,147420302.4,3026049.11,21389852,-32.16285714,53.1,-107,-56.51,41626,400.25,4986,2,188,16.7582653061224,612.28,-95.59,4.365,9.86868421052632,370.95,-37.26,1.91,3428453430,30074152.8938597,559247364,75281,11022213.06,6861.59,60.1893859649123,318,0.3,40,73904,690.691588785047,11275,35,252,1113,23.6808510638298,280,1,4,8529,79.7102803738318,1466,2,30,8433,80.3142857142857,1406,1,25,0,0,0,0,0,6759,66.9207920792079,877,1,27,22,2,6,1,1,2295,24.945652173913,285,1,8,22,2,6,1,1,6595,64.656862745098,837,1,25.5,1052,12.9876543209877,127,1,5,12.8069230769231,26.6,0.16,12.78,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,451003000000,3956164668.48421,83243881475,26655632.5,1156591639,131118,1225.40186915888,23799,31,484,0,0,0,0,0,23779,222.233644859813,3869,4,83,1121,23.8510638297872,288,1,4,87,3.10714285714286,12,1,3,8,1.6,2,1,2
食品饮料业,全国,247,1,14,,1,49,20,161,1,89,62,6,90,63,20,2,1,41,11,8,,1,1,2,1,,,,6,,,27,4,8,51,,,,,,,,3213162722619.6,13008755962.0227,254500894353.09,68530060.28,3933479151,259729611723.17,1051536889.56749,65376091419,-1899224403,125865476.5,1570640,6384.71544715447,104079,21,2325,2631504982328.34,10653866325.216,257485402421,30172188,2612074421,254.878704453441,52539.1,-58.06,34.4,19174534946,94455837.1725123,1223182484,4297.23,31943806.89,11.700971659919,776.41,-73.53,6.25,345204518080.79,1397589142.02749,87879572353,-1482805904,159976754,80.94,35217.32,-5456.72,0.61,-9.412591093,10353.94,-5590.66,0.35,17.4836815920398,240.03,-99.48,9.7,1.80955445544554,16.39,0,1.17,0.0906632653061225,6.95,-1.49,0.03,524758389.1,27618862.5863158,190534577.6,831828.29,6980144.7,2849.16384615385,36712.14,-75.11,6.96,44225,241.666666666667,3386,3,112,10.684347826087,142,-77.18,6.07,4.29154166666667,246.5,-53.19,2.14,13202154375,55008976.564375,1111257976,20041,15000719.02,78213.76,316.654898785425,21273,0.3,57,74941,331.597345132743,4905,1,149.5,634,13.4893617021277,80,1,5,9636,47.0048780487805,644,1,14,9376,45.0769230769231,650,1,15,0,0,0,0,0,6941,35.9637305699482,380,1,15,69,4.05882352941176,17,1,2,2212,14.8456375838926,252,1,5,69,4.05882352941176,17,1,2,7095,36.1989795918367,478,1,15.5,1366,10.1940298507463,98,1,3,6.46852459016393,37.08,0.18,5.86,0,0,0,0,0,0,0,0,0,0,21,1.61538461538462,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2177961255695.57,8817656905.65008,767878258389,-565252871.2,1280675615,109586,495.864253393665,8481,1,181,0,0,0,0,0,26369,120.95871559633,1706,1,37.5,634,13.4893617021277,80,1,5,124,2.48,11,1,2,2,2,2,2,2
商业电气机械和器材制造业,全国,320,2,18,2,,30,10,258,,151,46,13,110,127,17,3,4,36,3,3,1,,,3,,,,,11,,1,9,12,3,84,1,1,,,1,,,4567674442806.73,14273982633.771,600952318891,53166146,3868821010,280895066670,877797083.34375,33457105456,-1288389454,117943061.9,1425523,4468.72413793103,118907,27,1577,3068464429762.24,9588951343,328593929366,27441522.5,2210580012,46.71325,205.31,3.78,47.555,130161383609.15,426758634.784098,15510488861,1699337.67,100300735,28.79015625,456.09,-70.04,11.54,321953309410.21,1006104091.90691,39573834314,-1269477942,128576301,19.6698125,3321.7,-5411.16,10.215,29.01125,6511.63,-3287.79,11.415,28.0092434210526,442,-60.3,15.335,5.28767213114754,21.85,0.2,4.39,0.0735430463576159,13.6,-16.24,0.035,3830866922,87065157.3095455,847693754.3,335510.55,18958482.09,12.9831111111111,957.29,-106,-2.9,169729,608.347670250896,16303,9,265,18.209305019305,379.14,-77.94,8.04,10.2986392405063,148.37,-73.66,4.14,21142553247,67119216.6578095,2702026576,4791.62,14062852.39,55470.7,173.88934169279,10032,0.32,54,315693,1035.05901639344,19112,10,398,6766,37.3812154696133,2450,1,7,49537,164.574750830565,7075,1,46,46467,154.89,13330,1,41,0,0,0,0,0,39448,136.498269896194,2868,2,46,1272,20.5161290322581,708,1,3,15636,55.644128113879,1486,1,15,1267,20.4354838709677,703,1,3,33441,113.359322033898,1893,1,41,7501,29.4156862745098,1561,1,8,16.7735483870968,58.4,1.26,14.61,0,0,0,0,0,0,0,0,0,0,102,2.21739130434783,22,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2.30769230769231,16,1,1,1,1,1,1,1,2614593069950.38,8170603343.59494,424043156327,4825792.78,1564362173,646295,2119,64088,1,725,0,0,0,0,0,138591,457.39603960396,17747,3,140,6788,37.5027624309392,2457,1,7,657,5.71304347826087,29,1,3,118,3.57575757575758,22,1,1
租赁和商务服务业,全国,111,2,6,,,18,3,82,,44,46,1,20,29,12,1,1,41,2,2,,,,,1,1,,,1,,,6,3,,11,,,,,,,,1339530171724.24,12067839384.9031,263644354412,54601710.76,2292228574,17309468629,155941158.820901,6271836414,-2370448757,9128185,256692,2333.56363636364,31971,11,776.5,1083656893234.21,9762674713.82171,538148090780.54,4976623,1120424723,53.7461261261261,634.17,-47.1,47.28,4152163548,53924201.9167532,718380274,235237,18167422.61,1.32981981981982,444.32,-88.2,-6.49,26574807723,239412682.192703,7732181836,-2209217059,11445832,-84.16261261,5836.72,-4111.64,-40.5,-131.9652252,1691.4,-3251.58,-43.7,100.921571428571,6330.19,-93.86,3.965,3.53025974025974,104.23,0,0.9,1.15014925373134,88,-8.4,0.05,262295068.8,15429121.6935294,65120931.8,366159.77,7747696.5,721.919333333333,10251.79,-108,11.68,7960,132.666666666667,981,2,61,-3.903958333,145.61,-93.97,-7.24,2.37177570093458,624.98,-54.18,-6.69,3799840792,39173616.4162887,715042677.4,17660,6974599.68,10423.61,94.7600909090909,2279,0.21,32,5970,86.5217391304348,731,1,25,195,21.6666666666667,127,1,6,719,17.1190476190476,220,1,3.5,556,11.8297872340426,108,1,4,0,0,0,0,0,630,15.75,114,1,8,13,4.33333333333333,7,2,4,269,9.27586206896552,50,1,4,13,4.33333333333333,7,2,4,450,12.5,53,1,6.5,116,5.52380952380952,38,1,2,9.76183333333333,63.17,0.16,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793513422328.06,7148769570.52306,220371638646,-357650623,927507335.8,12306,201.737704918033,3335,1,48,0,0,0,0,0,2099,32.2923076923077,457,1,7,190,21.1111111111111,122,1,6,4,2,2,2,2,10,3.33333333333333,7,1,2
石油加工、炼焦和核燃料加工业,全国,21,,6,,,5,,10,,7,5,,9,3,1,3,,3,,2,,,,,,,,,,,,4,1,,4,,,,,,,,294021380820.01,14001018134.2862,41242761352,124101336.8,9401641498,1237071873,58908184.4142857,2573242871,-2868211385,38953979.58,72163,3436.33333333333,14712,59,1893,354810000000,16895703022.7333,82518357983,71885792.5,5914345325,42.0809523809524,70.57,13.54,38.99,2054592217,128412013.581875,686637550.3,8915127,83639115.81,9.38238095238095,109.35,-63.52,8.73,1930793961,91942569.5885714,2936832845,-3843364491,47511874.5,-139.2957143,800.99,-2380,-28.75,-146.1928571,258.85,-1757.33,-28.65,34.97375,228.9,-57.96,22.225,1.608125,4.04,0.13,0.98,0.132666666666667,1.2,-0.89,0.01,0,0,0,0,0,0,0,0,0,2996,199.733333333333,640,11,174,35.0492857142857,189.75,-11.86,13.965,1.3365,35.79,-25.25,-1.095,337558384.2,17766230.7484211,111321094,56480.1,9452941.22,1569.76,74.7504761904762,323,1.1,34,4161,244.764705882353,1105,7,142,2,1,1,1,1,761,44.7647058823529,385,3,19,903,53.1176470588235,445,4,19,0,0,0,0,0,330,20.625,72,4,16,0,0,0,0,0,115,8.21428571428571,39,1,6,0,0,0,0,0,431,26.9375,119,3,18.5,76,5.06666666666667,18,1,3,8.60333333333333,22.48,1.5,6.5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132550000000,6311897255.45714,20023271223,33204496.29,4808712590,8420,495.294117647059,3466,32,228,0,0,0,0,0,2082,122.470588235294,920,4,54,2,1,1,1,1,18,6,14,2,2,0,0,0,0,0
金属冶炼和压延加工业,全国,145,,27,1,,36,2,78,1,58,29,2,56,32,14,12,,17,1,6,,,,5,,,,,2,,,17,9,1,27,1,,1,,,,,4898823205933.11,33784987627.1249,398249000000,256736803.5,11679453838,252743111385.75,1743055940.59138,31108339888,-3534298506,203740017,1136156,7835.55862068966,67377,22,3033,5945198404661.59,41001368308.011,479938019427,229327741.6,13079986722,47.8735862068966,96.66,7.61,48.61,135220287879.85,1024396120.30189,17246037327,2671053.32,249955702.7,21.5103448275862,422.88,-36.53,7.81,306859096711.12,2116269632.49048,39911474918,-4255313388,252282950.7,-143.1082759,3023.8,-18032.1,-8.1,31.473724137931,6943.57,-2149.3,-8.17,176.862713178295,11404.44,-57.83,13.72,2.97992424242424,17.1,0,3.03,0.230634920634921,9.4,-3,0.06,1561183024,91834295.5558823,355066668,58736.3,26551194.9,23.1244444444444,405.64,-107,-17.085,101102,864.119658119658,8047,15,390,20.0201769911504,356.87,-48.77,8.1,7.62923076923077,104.24,-26.3,2.07,9458783949,65685999.6473611,802001528,48269.56,34730192.96,25152.44,173.465103448276,1256,0.42,88,152986,1108.59420289855,22579,1,364.5,1257,22.8545454545455,460,1,6,31770,235.333333333333,7506,1,57,25410,188.222222222222,4396,1,41,0,0,0,0,0,18009,138.530769230769,1014,1,48,119,5.95,48,1,2,9596,78.655737704918,624,1,21.5,119,5.95,48,1,2,14377,110.592307692308,1036,1,41.5,4776,41.8947368421053,857,1,13,12.2911111111111,31.41,0.62,12.25,0,0,0,0,0,0,0,0,0,0,56,2.07407407407407,7,1,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1.33333333333333,2,1,1,2,1,1,1,1,2587410390416.2,17844209589.0772,186774000000,80234425,5225432072,368247,2687.93430656934,87826,25,654,0,0,0,0,0,73997,540.124087591241,13250,1,143,1272,23.1272727272727,468,1,6,322,4.6,25,1,3,135,4.35483870967742,14,1,3
通信传输设备业,全国,120,,18,,2,11,6,83,,64,20,2,34,50,9,3,1,13,1,5,,1,,1,,,,,1,1,,1,9,4,19,,,,1,,,,2378993009579.7,19824941746.4975,1063804914366,92244904.99,2822164270,82611629879,688430248.994583,35562047956,-1282774557,81269463.06,675639,5677.63865546218,207089,83,1302,1437982604040.81,11983188367.0068,642338089982,15535954,1359951098,39.4803333333333,169,3.7,37.85,246443298315.66,2106352977.05692,161500086593,1886646,122712611.9,12.2238333333333,470.27,-66.08,8.105,97824553185,815204609.87375,42216024945,-1368549650,84623492.51,-1.893416667,932.32,-1165.78,10.16,-9.14725,1498.1,-2894.54,10.9,19.8419658119658,459.31,-43.62,12.29,13.0511111111111,103.79,0.89,9.92,1.47224137931034,54.46,-16.66,0.38,5279289115,155273209.255882,1821407214,75834.04,35115573.09,5.64764705882353,289.93,-108,3.615,269865,2570.14285714286,114091,20,375,7.45631067961165,72.8,-38.45,6.81,2.68784482758621,52.5,-50.8,2.88,10365330278,90133306.7686957,6552005523,220376.28,16968170.91,17801.88,150.863389830508,2035,0.61,69.5,350856,2998.76923076923,108994,24,495,136559,1728.59493670886,65106,1,7,146375,1251.06837606838,57963,1,65,119093,1026.66379310345,38892,1,46,0,0,0,0,0,11476,105.284403669725,1970,1,44,8314,346.416666666667,5098,1,4,6698,64.4038461538462,1434,1,20.5,8315,346.458333333333,5094,1,4,20739,185.169642857143,7068,1,36.5,14962,145.26213592233,6418,1,15,32.3580952380952,89.23,5.5,26.69,0,0,0,0,0,0,0,0,0,0,19,1.46153846153846,5,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.6,3,1,1,0,0,0,0,0,1268195028143.51,10568291901.1959,626728093271,42084684.7,845651095.5,2118188,18104.1709401709,771138,28,821,0,0,0,0,0,291715,2493.2905982906,101967,4,175,136542,1728.37974683544,65107,1,7,181,7.54166666666667,74,1,2.5,334,10.7741935483871,109,1,3
