企业名称,bmCode,year,总资产,净利润金额,雇员总数,营业收入金额,资产负债率,研发投入金额,营业收入同比增减幅,营业利润金额,营业利润同比增减幅,净利润同比增减幅,研发投入同比增减幅,研发投入占比,研发投入占比增减幅,资本化研发投入,资本化研发投入同比增减幅,研发人员数量,研发人员同比增减幅,雇员同比增减幅,政府奖励资金、补贴,公司市值,累计中国专利申请数,累计PCT专利申请数,累计中国发明专利授权数,累计中国发明专利失效数,累计PCT发明专利失效数,年度中国专利申请数,年度PCT专利申请数,年度中国发明专利申请数,年度PCT发明专利申请数,年度中国专利授权数,年度中国发明专利授权数,研发人员占比,国家科技进步奖,国家技术发明奖,省/部级科技进步奖,省/部级技术发明奖,国际行业奖项,国家自然科学奖,省/部级自然科学奖,省/部级科学技术奖,省级企业科技创新奖,总负债,累计所有专利被引用数,累计核心专利被引次数,累计中国发明专利申请数,累计PCT发明专利申请数,参与起草国家标准,参与起草行业标准
山拉航航装备公司,102288,2022,1995117045.43,352059608.95,788.0,896502451.3,12.62,172263393.2,30.97,415216342.3,14.49,12.2,39.59,19.28,1.12,34729028.81,63.74,226.0,15.56,19.01,26923408.39,128.0,297.0,78.0,78.0,22.0,,50.0,20.0,22.0,20.0,52.0,14.0,28.3,,,,,,,,,,252491438.4,1857.0,,182.0,78.0,,
协程通租管理公司,102310,2022,757976392.0,28244329.0,269.0,694809815.0,-47.1,,-23.13,55698237.0,-61.43,-72.48,,,,,,,,-8.43,10651812.0,11.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,-357650623.0,18.0,,2.0,,,
众科盛科技术研究院,102755,2022,2338299121.5,90416328.38,666.0,264554197.0,5.99,41102316.55,-22.65,104896473.28,-40.7,-39.39,20.5,15.52,5.56,,,236.0,108.58,32.48,14207298.77,36.0,60.0,4.0,19.0,12.0,,4.0,,3.0,,12.0,7.0,35.31,,,,,,,,,,138910174.09,138.0,,41.0,4.0,,
康盛健泰生物医药公司,102791,2022,5959027231.98,420616625.62,1529.0,1806341404.3,52.94,538556808.84,19.78,439507655.0,-6.16,0.97,99.68,29.84,11.97,275517355.6,583.67,557.0,20.84,24.68,25967743.04,85.0,372.0,14.0,134.0,115.0,,79.0,8.0,64.0,8.0,32.0,26.0,36.1,,,,,,,,,,3156514647.88,1066.0,,342.0,14.0,,
北控盛净环境科技公司,103005,2022,9823955294.73,78527494.88,2299.0,3424220103.25,74.49,,29.14,112547938.79,178.54,143.7,,,,,,,,-3.23,4808676.15,38.0,306.0,1.0,11.0,20.0,,,,,,3.0,,,,,,,,,,,,7313962742.58,576.0,,25.0,1.0,,
众天创创通信公司,103167,2022,8325143221.0,520583358.59,1753.0,3460514228.82,32.3,345075493.6,37.94,557923801.1,42.88,41.4,41.33,9.95,0.28,,,296.0,23.28,44.63,30169732.18,314.0,178.0,,43.0,10.0,,27.0,,22.0,,7.0,5.0,16.66,,,,,,,,1.0,,2689607245.37,496.0,,113.0,,,
众冶锦达建筑设计公司,103571,2022,3362444647.54,22585933.47,226.0,251972409.7,45.86,11797847.62,-54.75,33612555.23,-64.96,-68.45,-47.43,4.69,0.6,,,22.0,-61.4,-26.4,1818305.93,21.0,79.0,,12.0,15.0,,3.0,,3.0,,2.0,1.0,9.82,,,,,,,,,,1540208216.32,249.0,,30.0,,,
花电源泽水电公司,103700,2022,262334307954.99,8343891822.99,5729.0,23812168100.95,66.43,468694631.0,53.72,9149826547.07,34.8,37.1,9.11,1.92,-0.8,,,38.0,52.0,29.42,63162442.69,1534.0,631.0,18.0,61.0,30.0,,183.0,2.0,84.0,2.0,146.0,26.0,0.64,,,1.0,,,,,,,174225008234.42,527.0,,262.0,18.0,,
和联创工科技公司,103765,2022,2587560299.93,298978830.93,1319.0,2357119769.2,46.77,108342926.24,36.34,324703628.1,279.78,180.92,11.22,4.6,-1.01,,,196.0,18.53,6.3,23095426.22,98.0,583.0,,49.0,34.0,,77.0,,10.0,,75.0,7.0,14.69,,,,,,,,,,1208657182.73,1355.0,,134.0,,,
众器创泽技术研究院,103769,2022,3674325276.78,252465835.28,309.0,1059979958.19,35.59,63684555.04,26.17,292921690.27,31.25,26.35,-18.9,6.03,-3.38,,,80.0,,18.55,46936.0,54.0,155.0,,38.0,30.0,,3.0,,,,2.0,2.0,26.68,,,,,,,,,,1305978406.69,425.0,,69.0,,,
柳业达机智能装备公司,103905,2022,5413414908.94,880913084.51,3001.0,2491435609.1,33.68,253906055.48,-6.86,1029451109.05,-27.4,-26.36,46.15,10.17,3.65,,,609.0,-0.16,4.06,79893914.6,185.0,408.0,3.0,66.0,9.0,,52.0,,32.0,,44.0,13.0,20.03,,,,,,,,,,1822962310.49,715.0,,147.0,3.0,,
吉丽腾锦交通科技公司,103934,2022,4025428403.13,-338980622.92,4116.0,1671560057.16,44.8,84633304.5,-32.6,-340326238.13,23.74,27.87,6.01,5.08,1.86,,,345.0,-3.11,-4.22,20766669.15,34.0,211.0,,17.0,5.0,,36.0,,3.0,,41.0,,8.21,,,,,,,,,,1803553346.26,442.0,,34.0,,1.0,
海潮尚绣鞋业公司,104168,2022,663979315.06,17276990.81,333.0,326757718.07,20.86,12011187.22,-18.85,18111433.8,-16.06,-14.32,-9.99,3.63,0.3,,,36.0,,-2.81,1008632.29,19.0,327.0,,5.0,7.0,,13.0,,3.0,,11.0,,10.68,,,,,,,,,,138693128.43,286.0,,18.0,,2.0,
顺威昌润高分子公司,104357,2022,3073423921.06,138720198.37,642.0,1865963520.56,35.77,84540333.2,36.66,154246877.8,-43.57,-42.5,32.13,4.52,-0.15,,,68.0,13.35,34.47,8782613.97,31.0,95.0,,41.0,5.0,,9.0,,5.0,,4.0,3.0,10.48,,,,,,,,,,1098972663.2,521.0,,57.0,,,
恒丽智信软件公司,104401,2022,54377940316.0,490611379.0,,44075032581.0,63.85,769542975.6,73.4,1088767255.0,24.1,61.89,7.73,1.71,-1.08,,,,,,,26.0,9.0,,3.0,3.0,,2.0,,2.0,,,,,,,,,,,,,,34726368524.0,18.0,,9.0,,1.0,
金飞软云信息技术公司,104545,2022,4911509422.0,-632369997.0,1026.0,804708385.0,15.37,342511396.0,-34.93,-630045589.0,17.9,17.4,-7.08,42.57,12.7,,,410.0,,107.0,22299226.0,56.0,,,,,,,,,,,,40.24,,,,,,,,,,755352596.0,,,,,1.0,
绿山锦盛不动产公司,104547,2022,278295526801.95,918987603.61,2655.0,47920881951.2,75.96,9694762.99,-29.38,1715558382.69,-57.9,-56.19,50.79,0.06,0.08,,,,,23.98,12639898.22,107.0,21.0,,,,,17.0,,,,16.0,,,,,,,,,,,,211263714980.57,3.0,,,,,
玩美尚玩具制造公司,104941,2022,1799073085.27,-252472789.23,4605.0,1038143121.5,47.3,,-46.0,245519421.0,298.51,-638.95,,,,,,,,-17.88,,1.7,,,,,,,,,,,,,,,,,,,,,,850975419.0,,,,,,
海丽光炫科技公司,104962,2022,1514968977.06,27284835.13,290.0,875202545.98,46.6,28746487.73,-8.14,32094265.95,273.43,171.13,4.31,3.29,0.37,,,57.0,23.97,-6.04,2545763.86,27.0,348.0,2.0,28.0,28.0,,10.0,,2.0,,5.0,,19.25,,,,,,,,,,707284080.1,745.0,,70.0,2.0,2.0,
荣盛锦锦新材料公司,105178,2022,1389423255.66,5676096.3,988.0,791930689.59,45.5,37597352.9,9.82,4649942.77,-45.31,-14.0,31.94,4.74,0.8,,,141.0,21.11,10.06,4344585.3,17.0,108.0,,28.0,13.0,,13.0,,11.0,,1.0,1.0,14.55,,,,,,,,,,632133511.86,219.0,,56.0,,,
山汽腾盛汽车制造公司,105220,2022,173375413558.0,16335399166.0,19418.0,190462550817.0,54.4,2712504677.0,8.25,26008855737.0,8.51,7.86,2.3,1.43,-0.04,23334677.0,,3364.0,-9.33,4.2,378218216.0,148.0,9146.0,,600.0,388.0,,194.0,,35.0,,408.0,69.0,17.25,,,,,,,,,,94438373152.0,12648.0,,1204.0,,17.0,
康原生元制药公司,105847,2022,4211518052.43,1021520901.33,1835.0,3980759211.0,41.91,250188975.62,235.9,1201726334.97,428.75,405.16,85.47,6.22,-5.12,9875400.1,137.0,577.0,47.23,31.89,19638264.07,107.0,371.0,53.0,73.0,94.0,,30.0,14.0,15.0,14.0,34.0,24.0,31.04,,,,,,,,,,1766856714.78,1115.0,,236.0,53.0,,
众邮政通畅运输公司,105966,2022,4555147572.91,102162243.2,1261.0,5269421680.58,18.0,,-25.6,116130616.6,-20.11,-10.46,,,,,,,,-6.88,23813758.4,98.0,1.0,,,,,,,,,,,,,,,,,,,,,819919649.04,1.0,,,,,
众白通盛批发公司,106015,2022,2121758132.68,209602985.81,1217.0,2579347105.26,30.26,76895968.01,13.43,240057160.84,24.75,21.7,6.0,2.94,-0.28,650496.0,-11.55,93.0,5.66,6.89,11685313.25,59.0,100.0,6.0,47.0,16.0,,5.0,2.0,5.0,2.0,4.0,4.0,7.69,,,,,,,,,,641533555.29,236.0,,78.0,6.0,,
环星锦雅时尚公司,106024,2022,18271059567.1,609719365.18,3206.0,13331271431.26,40.35,295360003.41,-13.52,871266194.14,-54.8,-58.99,-6.88,2.21,0.15,,,923.0,-5.18,-12.11,56622802.83,167.0,481.0,,16.0,10.0,,100.0,,9.0,,137.0,8.0,28.91,,,,,,,,,,7377416806.06,144.0,,46.0,,1.0,
景能燃盛燃气公司,106199,2022,14791702588.79,644570464.43,2400.0,18923119173.32,56.53,286446684.74,39.82,1001431343.36,18.4,0.08,-4.83,1.54,-0.73,,,576.0,14.0,9.34,31202807.45,127.0,471.0,,37.0,9.0,,101.0,,24.0,,95.0,13.0,24.07,,,,,,,,,,8362516562.94,348.0,,95.0,,3.0,
瑞富昌锦资产管理公司,106306,2022,4919441679.5,-1912205523.5,43.0,237411900.5,111.72,,-41.27,-1934912341.71,-50.46,-43.72,,,,,,,,-33.87,,4.13,,,,,,,,,,,,,,,,,,,,,,5548446322.0,,,,,,
果投锦盛水电公司,106533,2022,32693783673.51,789392764.0,377.0,3082265829.58,72.98,7264052.86,61.59,866668206.15,95.04,84.46,295.88,0.29,0.11,,,,,24.5,1075008.97,130.0,12.0,,1.0,,,9.0,,7.0,,,,,,,,,,,,,,23864478296.12,2.0,,8.0,,,
碧园园昌置业公司,106687,2022,5850951377.0,-4968520619.0,6142.0,5033277614.0,187.92,122728722.0,-43.21,-5007515854.0,57.9,59.4,-0.6,2.49,1.01,,,,,-41.8,70336824.0,3.77,,,,,,,,,,,,,,,,,,,,,,10878897971.0,,,,,,
海山饮鲜餐饮管理公司,106878,2022,1518852332.0,116466373.0,694.0,1719071142.0,18.42,11456914.0,6.78,137251363.0,20.79,34.51,29.27,0.66,0.15,,,,,-2.29,3925685.0,10.0,62.0,,,3.0,,1.0,,,,2.0,,,,,,,,,,,,280791287.0,27.0,,5.0,,,
众花源荣科技股份公司,107258,2022,1678630994.0,274621469.0,1027.0,3378701968.0,64.1,77290155.0,19.26,308029591.0,119.95,114.1,30.63,2.22,0.2,,,,,17.72,7704811.0,4.63,,,,,,,,,,,,,,,,,,,,,,1076011319.0,,,,,,
盛通盛盛仓储公司,107387,2022,511779762380.93,131338329344.8,31553.0,391058488036.12,50.43,1394301867.48,17.1,167263753640.69,30.45,26.49,46.39,0.32,0.08,8236441.29,-88.58,2285.0,-1.14,1.72,636050397.33,1420.0,105.0,,10.0,11.0,,9.0,,4.0,,14.0,1.0,7.26,,,,,,,,,,258256200660.9,156.0,,27.0,,,1.0
德西鸿泽电力器材公司,107426,2022,43406017176.5,3729758192.5,8458.0,17631957721.22,30.33,482248176.5,32.2,4563912224.24,-15.6,-19.47,79.59,2.77,0.7,,,,,19.66,120680906.5,748.0,220.0,,20.0,16.0,,38.0,,3.0,,43.0,,,,,,,,,,,,13168785045.28,582.0,,61.0,,,
青青香食乳品公司,107519,2022,13171534854.0,431340076.0,2277.0,3918949797.0,17.83,15431195.0,-0.87,621698697.0,-13.26,-14.8,41.38,0.3,0.19,,,133.0,1.47,-1.16,33145224.0,164.0,65.0,,20.0,4.0,,11.0,,4.0,,7.0,3.0,6.15,,,,,,,,,,2345925231.0,207.0,,29.0,,,
宝新数云科技公司,107647,2022,25236464056.85,679274652.21,6578.0,5210109212.04,21.71,701714178.37,-4.81,699579441.6,4.12,11.12,-27.9,13.4,-4.37,,,,,-0.52,51015427.16,352.0,1153.0,48.0,142.0,209.0,,304.0,31.0,265.0,31.0,98.0,56.0,,,,,,,,,,,5495295805.72,2165.0,,1087.0,48.0,,
众轮智锦智能装备公司,108011,2022,3466865435.1,219110548.99,1499.0,1019925451.59,25.02,40938176.0,6.33,250659308.72,7.3,9.9,-7.2,4.06,-0.51,,,173.0,-13.15,-13.88,6893503.08,80.0,373.0,9.0,61.0,38.0,,59.0,,21.0,,41.0,,11.45,,,,,,,,,,869823195.81,1084.0,,151.0,9.0,,
海山鲜盛调味品公司,108275,2022,451085176.0,13296459.23,,207141180.76,53.2,,-32.2,11228815.7,-55.4,-51.34,,,,,,,,,758638.0,2.73,,,,,,,,,,,,,,,,,,,,,,240317558.5,,,,,,
万青泽石建材公司,108368,2022,46888591539.7,3731132170.5,20758.0,22108987012.22,51.91,1232827221.38,8.99,4060017631.25,-0.97,7.32,14.76,5.5,0.23,225150763.87,36.3,2471.0,8.61,11.83,280834928.3,348.0,2481.0,35.0,575.0,321.0,,358.0,6.0,233.0,6.0,250.0,137.0,11.98,,,3.0,,,,,1.0,,24343332687.78,6698.0,,1353.0,35.0,26.0,
纤慧宏华纤维科技公司,108596,2022,90140039043.58,136410563.96,27565.0,61993308838.82,61.12,1654665249.29,4.88,-362516654.7,-108.51,-98.16,13.33,2.68,0.2,,,2034.0,51.96,9.6,85515043.36,310.0,1600.0,11.0,68.0,139.0,,283.0,,116.0,,243.0,13.0,7.4,,,1.0,,,,,,,55133642728.52,1269.0,,389.0,11.0,4.0,
麻钢钢盛不锈钢公司,108599,2022,5934482163.01,42162569.57,3094.0,3609348004.01,69.81,118585231.17,44.43,36054244.93,-44.87,-36.99,42.84,3.2,-0.02,,,275.0,24.68,73.12,21046324.81,33.0,289.0,,34.0,7.0,,56.0,,25.0,,63.0,13.0,8.94,,,,,,,,,,4144063803.2,245.0,,83.0,,,
花凌钢钢铝业公司,108702,2022,17035912730.0,556114159.0,4263.0,14067048527.0,50.48,44027020.0,1.38,809070164.0,-33.78,-38.0,-12.47,0.33,-0.08,,,68.0,7.91,0.93,50766896.0,119.0,293.0,1.0,36.0,17.0,,18.0,,6.0,,21.0,,1.6,,,,,,,,,,8597507478.0,484.0,,81.0,1.0,5.0,
沃特胶胶科技公司,108747,2022,2430231405.48,208035710.77,3227.0,1959582386.34,20.76,82932276.45,4.82,236043361.18,58.56,55.79,15.97,4.21,0.4,,,318.0,0.6,3.17,17232978.09,40.0,2225.0,19.0,71.0,26.0,,281.0,1.0,21.0,1.0,355.0,4.0,9.63,,,,,,,,,,503196114.02,1677.0,,251.0,19.0,,
卫星润源化工公司,109071,2022,446374214.0,39618121.0,206.0,501438531.0,21.59,9618147.0,119.37,62667142.0,4347.74,1628.71,3.68,1.97,-2.08,,,,,11.18,695013.0,3.03,103.0,2.0,6.0,56.0,,,,,,1.0,,,,,,,,,,,,95995659.0,263.0,,68.0,2.0,,
花电锦泽水电公司,109105,2022,9293576714.32,362472445.81,1403.0,3841836135.86,55.1,26690989.79,87.29,543147899.76,159.02,88.0,-30.76,0.66,-1.16,1200627.0,-89.33,33.0,22.29,8.96,12518130.98,109.0,192.0,,24.0,18.0,,11.0,,4.0,,12.0,6.0,2.33,,,,,,,,,,5120564520.98,369.0,,52.0,,,
步步通盛贸易公司,109319,2022,41360663493.57,48437120.4,1924.0,29198932859.47,70.85,142943343.77,10.76,-32466959.84,-106.08,-95.92,22.7,0.42,0.07,,,51.0,13.31,5.2,30970799.88,135.0,43.0,,12.0,6.0,,6.0,,4.0,,8.0,2.0,2.67,,,,,,,,,,29298055479.05,85.0,,28.0,,,
柳业工智智能装备公司,109545,2022,638133656.87,74170081.04,257.0,239949523.57,15.11,18301833.31,12.87,86331094.7,0.0,-8.65,8.9,7.6,-0.2,,,50.0,21.94,25.7,5485440.4,30.0,50.0,1.0,8.0,10.0,,4.0,,2.0,,9.0,1.0,19.33,,,,,,,,,,96462763.79,102.0,,25.0,1.0,,
瑞富恒昌证券公司,109682,2022,168751312456.0,1616874681.0,1781.0,3779900789.0,91.44,,12.24,1689284616.0,25.44,25.8,,,,,,,,-1.17,68231411.0,80.0,,,,,,,,,,,,,,,,,,,,,,154335842471.0,,,,,,
华谊荣化科技股份公司,109709,2022,24044961423.0,4176110643.0,7067.0,20027949714.0,25.55,1310539217.0,26.4,5125054116.0,57.97,55.78,56.23,6.59,1.24,,,800.0,40.86,3.51,55520849.0,123.0,718.0,17.0,382.0,149.0,,76.0,,46.0,,86.0,57.0,11.45,,,1.0,,,,,,,6151474553.0,2952.0,,614.0,17.0,2.0,
徐业航工重工公司,109905,2022,4024738462.4,145175189.44,1911.0,1167799350.81,63.25,79562485.93,11.72,141408862.4,12.76,16.9,30.79,6.8,0.93,,,444.0,13.79,13.9,35085640.92,55.0,174.0,,21.0,40.0,,19.0,,14.0,,10.0,1.0,23.36,,,,,,,,,,2544353969.48,362.0,,100.0,,,1.0
用丰联信信息技术公司,109996,2022,5817803744.7,532326216.43,3323.0,4806015754.01,16.67,275474294.99,11.4,622523856.3,32.87,45.61,7.26,5.79,-0.24,74258508.49,-13.75,1129.0,2.49,19.38,33465363.43,271.0,1493.0,31.0,823.0,282.0,,61.0,,50.0,,57.0,47.0,33.84,,,,,,,,,,968060356.43,11742.0,,1395.0,31.0,,
丽群盛源批发公司,110148,2022,5922307244.9,286684597.0,382.0,10935849079.12,51.0,,-3.66,394492757.99,6.88,-20.53,,,,,,,,309.0,2171952.34,84.0,25.0,,,5.0,,,,,,,,,,,,,,,,,,3023732152.35,77.0,,5.0,,,
悦舍云星民宿服务公司,110376,2022,5569247563.77,-145678670.21,503.0,586599590.5,44.7,,-9.5,-159155048.28,-493.72,-793.9,,,,,,,,25.0,8753484.78,5.55,33.0,,2.0,,,5.0,,,,6.0,1.0,,,,,,,,,,,2492240246.29,10.0,,5.0,,,
用丰慧智软件公司,110390,2022,4314208491.73,-336273369.95,11753.0,2542243842.0,66.11,68998655.9,0.89,312752753.19,131.81,77.54,13.57,2.76,0.3,,,233.0,3.97,0.5,18614952.6,64.0,20.0,,7.0,6.0,,,,,,,,2.07,,,,,,,,,,2854308220.47,217.0,,9.0,,,
正德盛创电力器材公司,110402,2022,5662919542.98,-49011958.88,2045.0,5890971337.11,75.28,205533523.03,0.17,-57748387.44,-604.41,-286.31,-2.48,3.47,-0.05,6810178.56,132.65,353.0,2.65,-3.5,4571205.44,34.0,664.0,3.0,53.0,117.0,,58.0,,22.0,,56.0,7.0,17.37,,,,,,,,,,4259473096.03,1374.0,,210.0,3.0,,
林洋精表医疗科技公司,110450,2022,8250645292.35,182855824.75,3593.0,3880773898.6,62.75,401621750.13,28.48,244837273.13,69.32,16.56,42.48,10.31,1.08,94043133.83,108.42,1102.0,39.2,24.36,41492130.5,241.0,820.0,63.0,202.0,74.0,,57.0,,27.0,,64.0,31.0,30.81,,,1.0,1.0,,,,1.0,,5180730469.05,3578.0,,380.0,63.0,1.0,
柳业机航智能装备公司,110660,2022,3409763217.99,307714392.64,1306.0,1201601060.22,20.2,162345637.77,8.48,328901525.64,-10.5,-4.55,54.88,13.52,4.06,,,,,37.0,25216560.8,54.0,903.0,16.0,83.0,83.0,,209.0,5.0,76.0,5.0,212.0,46.0,,,,,,,,,,,690064708.15,709.0,,403.0,16.0,,
普各瑞健生物医药公司,110724,2022,10472324692.06,1188686451.33,5508.0,4441624491.4,24.41,571698515.51,17.9,1296389210.4,20.47,21.35,17.6,12.82,-0.07,3218181.91,-35.58,1725.0,7.02,9.47,54728388.66,306.0,1987.0,21.0,138.0,187.0,,329.0,8.0,148.0,8.0,337.0,38.0,31.27,,,,,,,,,,2560132901.99,1968.0,,783.0,21.0,1.0,
华仁瑞安医疗科技公司,110980,2022,2308111557.6,115432493.54,1355.0,943398670.67,23.95,39472905.29,54.1,130512263.45,210.04,226.29,63.92,4.14,0.27,2727982.73,-43.15,152.0,115.92,0.11,11033166.94,37.0,37.0,2.0,15.0,3.0,,1.0,,,,6.0,3.0,11.37,,,,,,,,,,552254444.94,116.0,,26.0,2.0,,
